Stavek,Polisemna lema
"b) Izraz ""pravna oseba"" pomeni glede obeh pogodbenic pravno osebo, vključno družbo, korporacijo, poslovno združenje ali drugo organizacijo, ki je ustanovljena ali kako drugače organizirana v skladu s predpisi ene od pogodbenic in ima svoj sedež na ozemlju te pogodbenice.",imeti
Arbitražno sodišče lahko določi drugačno delitev stroškov.,lahko
"Od leve: princesa Victoria, princ Haakon, kraljica Silvia, kralj Harald, kraljica Sonja, kralj Carl Gustaf in princesa Mette-Marit.",kraljica;kraljica
"Kraljica Beatrix, sicer navdušena jahalka in velika ljubiteljica konj, je hotela prebrati otvoritveni govor, a iz tega ni bilo nič. ",kraljica
"Je mlada, zelo čedna, pametna, duhovita in iz dobre družine pa vendar nima prijateljev in je zelo osamljena. ",imeti
"Začetek je obetaven, všeč ji postane postaven študent toda ali predsednikova hči sploh lahko najde ljubezen kot navadne najstnice?",lahko
"Čeprav mora biti Lara zaradi svojega poklica ves čas brezhibno urejena, saj je sama najboljša reklama za svoje izdelke, nakit, ne kupuje brezglavo oblačil s podpisom, za katere bi morala odšteti pravo bogastvo. ",sam
"Ker se je že zdavnaj spoprijateljila z drugimi modnimi oblikovalci, si med seboj pomagajo tudi tako, da ji oni podarijo kakšne kose oblačil, ona pa jim v zameno da svoj nakit, na katerega je lahko upravičeno ponosna, saj tudi za angleške razmere dosega visoke cene. ",lahko
"Po besedah tožilcev je bil osemdesetletni Killen vodilni klanovec, ki je rekrutiral drhal, da je umorila dva belca, Michaela Schwernerja in Andrewa Goodmana, ter temnopoltega Jamesa Chaneyja 21. junija 1964. ",beseda
"Nasmejana Sandra in Alex, ki se zdaj končno lahko igra na vrtu. ",lahko
"nakupovanje tudi z moškima lahko tako zabavno in nenaporno, pa še pasjo vročino smo zamenjali s klimatsko napravo. ",lahko
"Na poročno potovanje bosta mladoporočenca odšla julija, ko bo Jernej imel dopust, Andreja pa je še študentka umetnostne zgodovine in si lažje privošči nekaj prostih dni; cilj potovanja pa so Kapverdski ali Zelenortski otoki zahodno od Afrike v Atlantskem oceanu.",imeti;lahko
"»Če imaš dolge lase in prsi, ti res ne preostane drugega,« pripomni Craig/Emma. ",imeti
"Najbolj si je skočil v lase z Zlatkom Zahovičem, s katerim sta pred radovednimi mediji drug o drugem povedala marsikakšno krepko, nogometaš pa je imel še posebno veliko povedati o trenerjevem delu z ekipo. ",imeti
"Kot vse kaže, pa bo Zahovič v prihodnosti morda lahko treniral igralce drugače, kot je jih je njegov trener. ",lahko
"Dvajsetega junija je namreč začel tretjo stopnjo trenerske šole, in če bo uspešno opravil izpit, bo lahko začel treniranje kakšne ekipe. ",lahko
"Ne, Zahovič, ki ima trenutno čas, ker ne igra, se je pač odločil, da dopolni izobrazbo, da mu ne bi kdaj kakšna priložnost padla v vodo zaradi pomanjkljivega znanja. ",imeti
Morda bo to lahko nekoč dokazal. ,lahko
Da boste izgubili nadzor?,izgubiti
"Pred nedavnim je princesina prijateljica in zaupnica Simone Simmons napisala knjigo Diana: njena zadnja beseda, v kateri brez sramu razkriva mnoge podrobnosti, ki prikazujejo princeso v ne ravno lepi luči. ",beseda
"Nekaj ur pozneje so ga našli tri kilometre stran, mrtvega. ",ura;mrtev
Sodil si je sam. ,sam
"Oče dvajsetletnega Daniela dodaja: »Moj sin je imel srečo, da se je ravno obrnil, zato ga je krogla zadela v ramo.«",imeti
"Kakšnih trideset otrok, starih od dve do šest let, se je za šest ur spremenilo v talce med obleganjem Mednarodne šole za tujce Siem Reap v Kambodži. ",ura
"Pred otroki so mahali z orožjem, imeli so tudi granate. ",imeti
"Pa recite, da se Ben Affleck ne uči iz svojih napak okrog napovedane poroke z Jennifer Lopez leta 2003 je nastal tak medijski cirkus, da sta ne le odpovedala poroko, temveč sta se nekaj mesecev pozneje tudi razšla. ",odpovedati
"Petintridesetletni Sinclair je trdil, da je na božji misiji in da mora ozdraviti Mela, a to bo zdaj lahko počel samo na daljavo, saj ga bodo zaprli v zaporniški psihiatrični oddelek. ",lahko
"Tožilka Debra Archuleta je dejala, da ima Sinclair težave, s katerimi se bodo takoj spopadli, in dodala: »Upam, da bo spet našel pravo pot.« ",imeti
"Sinclair se je smukal okrog Melove hiše v Malibuju, enkrat pa je k Melu pristopil pred njegovo cerkvijo in ga prosil, ali lahko skupaj molita. ",lahko
"Sinclair, ki je svoje čase že bival v psihiatrični bolnišnici v rodnem Idahu, se je na sojenju zastopal sam. ",sam
"Sodnika je prosil le, da bi ga predčasno izpustili iz zapora, če se bo spodobno obnašal.",izpustiti
"V prvem odstavku 48.a člena se za besedo ""zavarovanje"" dodajo besede ""za porodniško varstvo,"".",beseda;beseda
"V prvem in drugem odstavku 71. člena se za besedo ""učencih"" dodata besedi ""oziroma dijakih"".",beseda;beseda
"Republika Slovenija daje poroštvo za obveznosti Nove Ljubljanske banke d.d., Ljubljana iz pogodbe, sklenjene z Exim banko za prevzem obveznosti slovenskih dolžnikov oziroma končnih uporabnikov iz naslova refinanciranih kreditov, ki jih je Ljubljanska banka d.d., Ljubljana najela v letih od 1984 do 1989 na podlagi Usklajenih zapisnikov o konsolidaciji dolga med Zveznim izvršnim svetom SFRJ in Pariškim klubom.",dajati
"Če se zaradi sprejema ukrepov določitve cen iz 4. in 5. člena tega zakona bistveno poslabšajo pogoji poslovanja, ki onemogočajo normalno poslovanje, se podjetjem in drugim pravnim osebam ter nosilcem samostojnega osebnega dela zagotovijo nadomestila do ravni cene, ki pokriva stroške enostavne reprodukcije.",nosilec
"Funkcionar, ki vodi republiški upravni organ, pristojen za cene, lahko predpiše obvezno pošiljanje podatkov o cenah za posamezne proizvode in storitve, kadar potrebuje te podatke za spremljanje gibanja cen.",lahko
"Velik del ocene za uporabnost tako zavzema delo s programom, ki ima privzete nastavitve.",imeti
Zdaj je ti dve besedi potrebno samo povezati. ,beseda
"Besedo ""Idrija"" in besedo ""blogerji"".",beseda;beseda
"Sorta ni primerna za lahka, peščena tla, saj v stresnih razmerah močno izrašča in ponovno formira gomolje. ",lahek
"[Simbol za cede z navedbo 1. ali 2. cede + zaporedna številka posnetka] Značilno petje in oglašanje lahko poslušate na zvočnem cedeju Gozdne ptice Slovenije (Prirodoslovni muzej Slovenije, 2002)",lahko
Na vlažnih travnikih v okolici Krakovskega gozda tega orla lahko redno opazujemo pri lovu na male sesalce. ,lahko
Na selitvi se jih lahko zbere tudi več skupaj. ,lahko
Svatujejo v zgodnjih jutranjih urah v aprilu in maju. ,ura
"Za mladiče begavce skrbi le samica, ki jih vodi, hrano pa si znajo poiskati sami. ",sam
"Kljub svoji majhnosti je velik plenilec, saj lahko upleni tudi plen, ki je večji od njega, denimo velikega detla ali cikovta. ",lahko
"Par se pogosto najde že jeseni, ko samec poje značilno naraščajočo lestvico, spomladi pa prepeva z območnim petjem, predvsem ob mraku in svitu. ",peti
"Nima kakšnih drugih posebnih značilnosti, kot so na primer obarvana čepica pri črnoglavki ali rjava peresa v perutih rjave penice. ",imeti
Poje v grmovju ali v drevesni krošnji. ,peti
Samec navadno poje iz izpostavljenega pevskega mesta in njegovo kovinsko zveneče petje je težko prezreti. ,peti
"Kadar bogato obrodijo bukovi gozdovi, pa lahko pozimi doživimo prave invazije pinož in naše gozdove preplavijo tisočglave jate, kot na primer v zimi 2001/2002.",lahko
Še vedno nam v ušesih odzvanjajo besede Buda Foxa z začetka filma Wall Street: »Danes v revščini ni nobenega dostojanstva.« ,beseda
"Kot je opazil tudi Peter Drucker, lahko ljudje prvič v zgodovini pričakujejo, da bodo živeli dlje kot organizacije, za katere delajo. ",lahko
"Ameriški akademik in svetovalec Jim Collins trdi, da “še nikoli v zgodovini ni bilo laže prerazporejati kapitala, ne da bi ustvarili trajno vrednost” (Fast Company, marec 2000). ",lahko
"Ustanavljajo jih ljudje, ki hočejo na hitro zaslužiti z javno prodajo delnic in nimajo ambicij, da bi ustvarili kaj trajnega. ",imeti
"In čeprav je res, da se podjetja ustanavljajo na hitro, in ne, da bi trajala, ni pravzaprav nič narobe, če imamo veliko kratkotrajnih podjetij v dinamičnem grozdu. ",imeti
"Seveda ima tak razvoj za tiste, ki v ta prehodna podjetja vlagajo tradicionalni kapital, poleg finančnih tudi politične posledice. ",imeti
"Nokijin izdelek N-Gage, ki je igralna konzola, mobilni telefon, MP3-predvajalnik, radijski sprejemnik in osebni organizator, je drug zanimiv primer izdelka, kakršne lahko pričakujemo v bližnji prihodnosti. ",lahko
"Prav tako je treba omeniti, da dragocenih uvidov nima več le peščica ljudi v vrhu organizacije. ",imeti
Umske delavce lahko najdemo na vseh ravneh sodobne firme. ,lahko
"Zdaj mu lahko vsi verjamemo in ga izrečemo, ne da bi se morali bati, da nas bodo odpustili. ",lahko
"Uspešna italijanska živilska veriga Unes ima štiri take osrednje podjetniške vrednote: Fortune, 20. januarja 2003.",imeti
"Za inovativnost podjetja potrebujejo ustrezna orodja in okolja, v katerih se takšni procesi lahko dogajajo. ",lahko
"Nobenega smisla nima najemati novih ljudi, potem pa jih vključiti v nespremenjene procese. ",imeti
"Seveda je pomembna, ker marsikaj omogoča, toda sama po sebi podjetjem ne more zagotoviti trajnih konkurenčnih prednosti.",sam
"Za od 1.000 do 10.000 dolarjev na dan lahko kupite toliko organizacijskega in managerskega znanja, kot ga boste kadarkoli potrebovali. ",lahko
S takšnimi informacijami si lahko pisarno napolnite od tal do stropa.,lahko
"Knjiga se končuje z besedami: “Zatorej, iz vojne narave, iz lakote in smrti neposredno izhajajo najvišji cilji, ki si jih lahko zamislimo: višje živali. ",beseda;lahko
"V tem pogledu je nekaj veličastnega, ker je več sil prvotno vdihnilo življenje nekaj oblikam ali eni sami; in medtem ko se je planet vrtel v skladu s trdnimi zakoni težnosti, so se iz preprostega začetka razvile neskončne čudovite oblike in se še razvijajo.” ",oblika;sam;oblika
"Darwin je trdil, da bi evolucijo lahko prikazali kot proces, v katerem preživijo le najbolje prilagojeni in najmočnejši. ",lahko
"Vrste porajajo veliko več posameznikov, kot jih lahko preživi do reprodukcije. ",lahko
Posamezniki imajo različne lastnosti. ,imeti
"Tisti, ki jim uspe preživeti do odraslosti in ploditve, bodo naselili okolje s potomci s podobnimi lastnostmi, ki so lahko telesne ali vedenjske. ",lahko
"Po Darwinovih besedah: »… razmnožujte se, bodite raznoliki, naj najmočnejši preživijo in najšibkejši umrejo.« ",beseda
Odjemalcem lahko bodisi ponudijo več vrednosti za manj denarja ali malo manj vrednosti za veliko manj denarja. ,lahko
