Stavek,Polisemna lema
Vladi je uspelo rešiti gordijski vozel plačnega sistema v javnem sektorju.,sistem
"Dr. Igor Grdina z Inštituta za kulturno zgodovino ZRC SAZU, je ocenil, da je Trubar osrednja osebnost slovenske kulturne, v marsičem pa tudi siceršnje zgodovine. ",zgodovina;zgodovina
"Z oblikovanjem nacionalnega knjižnega jezika je neizbrisno zaznamoval življenje rojakov: ustvaril jim je izrazno sredstvo in instrument komunikacije, ki jih je povezoval v času in prostoru ne glede na nazorske razlike. ",jezik
Njegov knjižni jezik so že v začetku 17. stoletja prevzeli tudi katoliški pisci. ,jezik
Trubar sodi v vrsto velikih evropskih reformatorjev. ,velik
Skrbel je za izobrazbo nadarjenih mlajših rojakov; eden izmed njih – Jurij Dalmatin – je leta 1584 izdal prvi slovenski prevod celotnega Svetega pisma. ,leto
"Njegov Katekizem iz leta 1550 tako ni prvenec samo med slovenskimi knjigami, ampak tudi med notnimi tiski.",leto
"»Prevzem skupne valute je poglobil integracijo EU in predstavlja enega najbolj otipljivih simbolov EU, ekonomsko pa državam članicam skupnega monetarnega območja prinaša veliko večjo stabilnost in odzivnost na globalno ekonomsko dogajanje,« je dejal premier. ",velik
"Bil je med tistimi, ki jim je uspelo obraniti Maribor in je v letu 1919 sodeloval v bojih na Koroškem. ",leto
V vsega desetih letih je skupaj s Knobleharjem za posledicami bolezni umrlo kar dvaindvajset misijonarjev v Sudanu.,leto
"Menil je tudi, da je treba doseči zlasti večjo učinkovitost in kakovost. ",velik
"Florenz je prepričan, da je lahko iskanje novih tehnoloških rešitev pri doseganju ciljev za zmanjšanje izpustov toplogrednih plinov priložnost zlasti za srednje velika podjetja. ",velik
Bolezen je bila vse hujša in Marija Terezija je za njenimi posledicami umrla 29. novembra 1780 na Dunaju v 63. letu starosti. ,leto
"Nasledil jo je sin Jožef II., ki se je tudi sam vpisal v zgodovino kot eden vodilnih evropskih razsvetljenih absolutistov.",zgodovina
"Brat ni najbolj sposoben za delo, tako da je večja in zahtevnejša dela opravil Jože. ",velik
V vseh teh letih ni niti enkrat samkrat prespal pod lastno streho. ,leto
"Šele v začetku letošnjega leta, februarja, se je Jože Klobučar pojavil na policiji. ",leto
"Podal je prijavo, v kateri je izjavil, da je bil vsa ta leta v suženjstvu. ",leto
"Slovenija je v EU vstopila v družbi še devetih vzhodno- in srednjeevropskih držav: Malte, Cipra, Slovaške, Poljske, Češke, Madžarske, Litve, Latvije in Estonije, v EU pa sta leta 2007 vstopili še Bolgarija in Romunija.",leto
"Sledila je obsežna knjiga Furmani po cesarskih cestah skozi postojnska vrata (Logatec, 2003), ki je bila prvo obsežnejše delo s tega področja. ",vrata
"Adlešiči so bili poseljeni že v prazgodovini, saj so na Preložniku in Veliki Plešivici našli sledove ilirskih postojank. ",velik
"V srednjem veku so imeli oblast nad ozemljem današnjih Adlešičev in okolice Hrvati, nato Ogri, istrski mejni grofje, grofje Andechs-Merenski, Spanheimi in goriški grofje, dokler ni vsa Bela krajina leta 1374 prišla pod Habsburžane. ",leto
"Na igriščih, ki bodo vključena v kompleks parka, bodo gostje lahko igrali odbojko, badminton in balinanje.",igrati
Pred kakšnimi petnajstimi leti je po sporu mahnil po obrazu tedanjega kulturnega ministra dr. Andreja Capudra. ,leto
"Sledilo je obdobje posebnih namenskih programov, v zadnjem času pa se vse bolj uveljavljajo internetni sistemi, pri katerih ni treba nameščati nobene aplikacije, ni težav z dostopnostjo, skrbniku pa ni treba skrbeti za popravke in nadgradnje. ",sistem
"Ko so se ob koncu prejšnjega tisočletja blogi začeli pojavljati, ni kazalo na uspeh (leta 1999 so bili samo štirje). ",leto
V zadnjih letih pa je spletni dnevnik postal nadvse aktualen in danes jih obstaja že več milijonov. ,leto
"Od leta 1995 do 2005 se je bruto domači proizvod (BDP) na prebivalca v Ljubljani povečal za več kot 10 tisoč evrov, v vseh drugih regijah pa samo od 3 do 5 tisoč evrov. ",leto
"»To pomeni, da državljani nimajo niti približno enakih izhodiščnih možnosti, saj kraj rojstva in prebivališča praviloma pomeni veliko prednost ali veliko prikrajšanost v življenju,« menijo pobudniki. ",velik;velik
"Na prvo srečanje papeškega sveta me je povabila cerkvena stran, medtem ko me je na srečanje v Ljubljani leta 1984 povabila Slovenska akademija znanosti in umetnosti. ",leto
Najstarejša zgodovina Slovenije,zgodovina
največja hitrost v km/h,velik
Novomeški kapitelj ima po eni strani velik simbolični pomen. ,velik
V Novem mestu je bil več kot petsto let kolegiatni kapitelj. ,leto
"V prvih časih je imel kapitelj dvanajst kanonikov, kasneje šest, v zadnjih stoosemdesetih letih pa je formalno imel štiri kanonike. ",leto
Na vseh področjih je predsedstvo z delom razjasnilo sklepe in doseglo veliko napredka v primerjavi s splošnim dogovorom pred letom dni. ,leto
"To, da na CNN ali drugih mednarodnih televizijskih postajah praktično v živo gledamo aretacije protestnikov v Lhasi, nas pač ne more pustiti hladnih. ",hladen
"Vila z bazenom in velikim vrtom v tlorisni zasnovi spominja na letalo, arhitekt pa je natečajni projekt oddal pod šifro »Avijon«. ",velik
"Deseta zgodba v tretji knjigi z naslovom Ciganka v Dukičevi postelji opisuje bogatega ljubljanskega stavbenika Adolfa Leona Dukiča in njegovo burno življenje ter vilo, v katero se je po drugi svetovni vojni – po spremembi družbenega sistema, ko je Dukič prišel v nemilost in se je zato umaknil na Dunaj – vselil književnik in politik Josip Vidmar. ",sistem
"Sistem osmih smučarskih žičnic vam omogoča prijetno smuko na 38 km smučarskih prog, primernih za začetnike in zahtevnejše smučarje. ",sistem
Vse leto je poskrbljeno za bogato gostinsko ponudbo. ,leto
Ena največjih vasi v Slovenski Istri so Šmarje (280m). ,velik
"Od navadnih lesenih deščic z usnjenimi vezmi do nastanka robnikov, uporabe najmodernejših umetnih mas in skrbi za večjo varnost.",velik
"Tudi jaz sem zamejski Slovenec določene svetovnonazorske usmerjenosti, toda zame v tem časopisu že leta ni prostora, čeprav sem izrazito izpričeval svoj demokratični pogled na slovenstvo nasploh. ",leto
»Kulturni boj na Slovenskem se v največji meri napaja iz dogodkov med drugo svetovno vojno in po njej. ,velik
"Veliki komunistični zločini so tisto, kar mora v sebi skesano predelati sodobna slovenska levica in nekatoliška javnost. ",velik
"In več po vojni pobitih bomo našli pod našo prstjo, večja bo njena potreba po kulturnem boju. ",velik
"Zanimalo nas je, kakšno je stališče zbornice do obračunavanja raznih bonitet, popustov in podobnega, ki ga trgovci zaračunavajo dobaviteljem, ali vedo, da jim za to izdajajo posebne račune, kot bi šlo za storitve, kdaj se je spremenil ta sistem in ali imajo podatke, kako trgovci obračunavajo končno ceno za potrošnike. ",sistem
"V azilnih postopkih se širi možnost odločanja v pospešenem postopku, kar prosilca postavlja v slabši položaj, saj se že tako sooča s težavami, ker ne pozna jezika, ker se boji policije in drugih organov. ",jezik
"Gre za poseben sistem, ki bo raketoplan najprej dvignil v nebo, potem pa se bo raketoplan odklopil od nosilnega letala in potnike popeljal v Zemljino orbito. ",sistem
"Lastnik podjetja Virgin Richard Branson meni, da ima vesoljski turizem velike možnosti, in si želi, da bi njegov projekt uspel. ",velik
"Sistem naj bi v vesolje popeljal osem potnikov hkrati, delovati pa naj bi začel že leta 2010. ",sistem;leto
"Branson pravi, da je pomembno tudi to, da bo lahko nosilni sistem v orbito z nizkimi stroški izstrelil satelite. ",sistem
"Povsem nerealno pa bi bilo pričakovati, da bi se Pahor spopadel z Bajukom v košarkarskem slogu »ena na ena«, saj že zdaj prihajajo v javnost odzivi ministrstva za finance, ki spravljajo Pahorja zaradi njegovih izjav o inflaciji v veliko zadrego. ",velik
"Naj skleneva; kaj je največja težava, s katero se vi osebno soočate kot prvi vodilni v Krki? ",velik
"Vrhovni vodja celotnega projekta je bil general Leslie R. Groves, človek velike energije in megalomanskih nazorov, brez katerega Američani atomske bombe verjetno ne bi izdelali pred koncem druge svetovne vojne. ",velik
"Maja Slatinšek je prva slovenska pevka, ki bo nastopila na tujem evrovizijskem izboru. ",tuj
"Na veliko presenečenje je 18-članska strokovna komisija izmed 282 prispelih pesmi izbrala tudi našo pevko Majo Slatinšek, ki se bo v tekmovalnem delu predstavila s pesmijo Time to Rise.",velik
"Glede na to, da bo sedanja vlada po letošnjih parlamentarnih volitvah verjetno zdrsnila v opozicijo, lahko pričakujemo, da bodo še tisti redki mediji – ki so v zadnjih treh ali dveh letih zagotavljali pluralnost vsaj za kanček – z uredniškimi spremembami postali enoumno levičarski. ",leto
"Tako je največje število svetnikov dobila SDS, sledi ji LDS. ",velik
"Prvak SD Borut Pahor je decembra v samoohranitveni paniki slovenski javnosti oznanil, da bo v primeru zmage SD na državnozborskih volitvah leta 2008 postal mandatar. ",leto
"Leto 2007 je bilo v znamenju dobrih gospodarskih kazalnikov, izbire novega guvernerja, afere Sova, izdaje leta, predsedniških volitev, Janševega spopada s tajkuni in priprav na predsedovanje Evropski uniji.",leto;leto
