Polisemna lema;Stavek
braniti;Toda nesporni zvezdnik predstave, človek, ki so ga prišli gledat od blizu in daleč, je Saša, brez Tarnkappe, a s partijsko aktovko, prav smešno poskakuje po tlakovani ulici, en copat je izgubil, s prosto roko krili po zraku, kakor da bi hotel reči: »Ne, ne,« podobno kakor filmski zvezdniki, ko se branijo paparazzev, prosim vas, fantje, ne danes, nisem se še naličil.
braniti;Sašo Štravs uporabi prispodobo in pravi, da imajo večjo naklado kot najbolj brani slovenski dnevnik. 
braniti;Odgovor: Čeprav se branite, boste le morali na sodišče, če hočete zadevo dokončno urediti. 
braniti;Janša se je sprva branil s trditvijo, da je dokument dobil anonimno po pošti - skupaj z izvodom Narodne armije -, kasneje pa je polkovnik KOS-a Vasiljević iz Janše izvlekel podatke, ki so obremenili še Zavrla. 
braniti;Janša se je namreč branil ob pomoči dejstev, ki jih je poznal. 
braniti;Bil se je pripravljen braniti z vsem besom ranjene živali.
braniti;Babice so teritorialne živali, ki zelo bojevito branijo svoj ožji življenjski prostor, zato je v akvariju najbolje imeti eno samo ribo iz te družine. 
braniti;Ob 11. uri nemški oklepniki prodrejo do gozdnega obronka, ki ga brani 4. eskadron 21. ulanskega polka. 
braniti;1 Sovjetski zunanji minister Molotov čestita Hitlerju za zavzetje Varšave že 9. 9. 1939, čeprav bodo poljske enote še skoraj tri tedne branile svoje glavno mesto. 
braniti;»Sama je padla, oči, nič ji nisem naredil!« je slišala, kako se Timmy brani. 
braniti;Jasno, vse živo, se branim. 
braniti;Ko so študentje stopili skupaj in se pogovorili, ter nam predložili novi koncept svojega zakona, ki mu zdaj v drugi obravnavi sledimo, smo začeli sodelovati tudi z drugimi strankami, predvsem tistimi, ki so najbolj pokazale interes braniti interes študentov. 
braniti;Branijo se ga tudi zaradi tega, ker zaradi cevke otrok izstopa v šoli. 
braniti;Tega se brani in si tako pridobiva vedno več svobode in možnosti za lastni razvoj. 
braniti;Alya: Nosim atlantidski prstan, ki me brani pred negativnimi stvarmi. 
braniti;»Kakšen DZB neki,« se brani Peter.
braniti;22. februarja 2002 sem napisal dolg članek, kjer sem branil boj ljudstva za pravico, ki jo je takrat predstavljal Mark Ravalomanana. 
braniti;Povedal je, da SLS+SKD v nadaljevanju pogajanj ne bo branila le proračunskih deležev za ministrstva, ki jih vodijo posamezniki iz združene stranke, ampak bodo nasprotovali tudi upočasnitvi gradnje avtocest in morebitnim posegom v že začete naložbe v šolstvu in znanosti.
braniti;Sam sem bil o njeni smrtonosnosti tako prepričan, da sem Oranžado odpisal, še preden se je imela priložnost braniti. 
braniti;Ne bi vedel, kakšno ime naj ji dam, prej kot prezir ali ravnodušnost je to način dostojanstva, ki ga ima, da se brani pred ne vem preveč dobro čem. 
braniti;Krščansko Evropo smo na njenem južnem boku branili Hrvatje in Slovenci in Hrvati so pri tem izgubili pol države.
braniti;Mnogo verjetneje je, da se hoče braniti domačih sovražnikov, kateri lahko porabijo to priliko, da pod papeževim imenom udarijo na Viscontija in Milan.
braniti;Ker se bo kmalu danilo, ni lahko braniti jim. 
braniti;"Spočetka se je samo branil; ko je pa čutil, da mu nasprotnik čedalje huje sili do živega, je napadel nasprotnika z drznim zamahom. "
braniti;A prav tako spretno se je branil Ambrosio. 
braniti;Deklica je sicer zardela, ko ji je vojvodinja vzela prvič to stvar v misel, a videlo se je takoj, da se Vidiča ne bi tako branila kakor Roviga.
braniti;"Ljubi Bog! zahvalim te, da si me ohranil; prosim, da boš dalej še hudega me branil. "
braniti;»Danes smo se pogovarjali o otrokovih pravicah!« se je branil. 
braniti;»Kaj morem, ko pa se mudi k dedku!« se je branil oče. 
braniti;Kdo bi se branil? 
braniti;Ob tem da je na svojem položaju uradno potrjeval njegove načrte, je tudi pogosto pisal o njih, sproti presojal izvedeno tako v Pragi kot v Ljubljani in ga branil pred napadi. 
braniti;Ni se branila, tako mehko in nežno se je prepuščala, da sem se spraševal, če se je dotikam v resnici ali le v svojih predstavah. 
braniti;Preiskava je pokazala, da se je pisatelj skušal braniti z nožem, ki ga je imel v avtomobilu, neznanec pa je vanj izstrelil pet krogel.
braniti;»Otroci so tepeni, kadar nagajajo, kadar nočejo v šolo, kadar se branijo umivati in v podobnih primerih.« 
braniti;Vidi se, da slabo branijo rotacijo, da niso tako trdni kot nekatere druge ekipe,« je dejal Bečirovič in se dotaknil gostovanja, ki sledi. 
braniti;Pred nadležno boleznijo se lahko uspešno branimo, če se ji posvetimo pravočasno
braniti;Braverman misli, da imajo malo le samostojnosti, medtem ko Ehrenreichova trdita, da profesionalno-menedžerski razred vse bolj brani svoje lastne interese, ne pa interesov vladajočega razreda.
braniti;* Kot vsako vnetje predstavlja tudi vnetje sečnih poti najprej obrambni mehanizem, s katerim se organizem brani napadalcev. 
braniti;Vnaprejšnja slutnja viharjev, kakršne s seboj nosi sprememba, nam brani priznati, da vemo in smo od nekdaj vedeli, k čemu smo poklicani.«3 V več pogledih je sama Levoyeva knjiga odraz milosti, ki sem je bila deležna v nizu nepričakovanih uvidov. 
braniti;»Zelo sem presenečena in vesela, ta nagrada mi predstavlja navdih za nadaljnje delo,« nam je povedala 19-letna članica Branika, ki bo marca na Norveškem branila naslov mladinske svetovne prvakinje. 
braniti;Če bi ga branil, se bojim, da bi oskrunil njegovo ime! 
braniti;Potem pa pojdi in poišči siromaka, da mu boš pomagal, nesrečneža, da ga boš potolažil, zatiranega, da ga boš branil. 
braniti;»Ja, če bi lahko vadila toliko kot Bila in Nataša,« se je branila Randa. 
braniti;Ne glede na število ljudi, ki bi se zbrali, da bi se vzajemno branili, učinka vseeno ne bo, če ne bodo vsi usmerili svojih dejanj k istemu cilju, usmeritev k istemu cilju pa je to, kar smo v 7. odst. . pogl. imenovali soglasje. 
braniti;Karina presenečeno ugotovi, da se on poljuba ne brani, temveč ji ga vrne. 
braniti;e) Sicer sva seksala že pred večerjo, ampak tudi po večerji se tega ne bi branila.
braniti;Brani zvezo Brada in Angeline
